date,model_name,accuracy
2023-01-10,VGG16,0.874871178460477
2023-03-30,GPT-3,0.8396310230746016
2023-05-10,VGG16,0.7793704217580427
2023-05-06,VGG16,0.926521345557009
2023-01-11,ResNet,0.8066058237944849
2023-06-27,BERT,0.839141280449531
2023-06-08,GPT-3,0.7650101344553685
2023-02-25,VGG16,0.9423280597966845
2023-03-24,GPT-3,0.9339812457531944
2023-05-17,ResNet,0.926067799210155
2023-04-09,BERT,0.8218664425180527
2023-05-29,VGG16,0.7916352178238297
2023-03-14,BERT,0.9030127834728552
2023-06-05,ResNet,0.8690799321871726
2023-07-09,ResNet,0.7927805920571139
2023-04-25,GPT-3,0.9146187050519673
2023-01-07,VGG16,0.9878703436371129
2023-03-21,GPT-3,0.9293327010580891
2023-05-24,ResNet,0.9275967328045468
2023-04-07,BERT,0.978075060703342
2023-01-04,GPT-3,0.7987047282179766
2023-01-04,GPT-3,0.8857319915811457
2023-04-13,BERT,0.985115211608132
2023-02-09,GPT-3,0.7896705866328418
2023-01-17,BERT,0.918060470266685
2023-04-11,VGG16,0.8905944350332564
2023-04-13,BERT,0.8907549821252897
2023-05-04,VGG16,0.917440950604818
2023-02-21,BERT,0.9731080614901642
2023-02-21,ResNet,0.9378196655643211
2023-06-13,ResNet,0.7634726648198904
2023-05-04,VGG16,0.9546547247701707
2023-06-15,VGG16,0.8041299191821758
2023-06-27,ResNet,0.8404593995367292
2023-03-04,VGG16,0.8608158752669717
2023-04-26,BERT,0.8654174401807367
2023-07-10,BERT,0.8544432958212856
2023-03-03,ResNet,0.9749647906118074
2023-01-07,GPT-3,0.9194445618393658
2023-06-04,BERT,0.9014809550296096
2023-04-02,VGG16,0.761962086667906
2023-01-14,GPT-3,0.96693919926249
2023-07-18,GPT-3,0.968253646082015
2023-03-27,BERT,0.9372511352232246
2023-05-13,BERT,0.7516870089152686
2023-07-02,GPT-3,0.7637472602586296
2023-05-10,GPT-3,0.8040536885444376
2023-03-03,ResNet,0.7815238579547776
2023-05-29,VGG16,0.845720647128895
2023-03-20,ResNet,0.9714295339410695
2023-05-29,BERT,0.8632945042072796
2023-05-18,ResNet,0.7532166303437198
2023-02-27,ResNet,0.8178589654989029
2023-04-30,ResNet,0.7607027780095108
2023-06-16,ResNet,0.7587090294272405
2023-05-13,VGG16,0.8161727647429325
2023-03-06,VGG16,0.816146961282947
2023-01-13,GPT-3,0.9389103846243849
2023-06-30,BERT,0.9839603166674669
2023-03-23,ResNet,0.8390897025335996
2023-06-22,GPT-3,0.8529328509266493
2023-06-09,GPT-3,0.9527494647086452
2023-06-13,GPT-3,0.8143533648229232
2023-07-07,VGG16,0.7875316330568275
2023-05-19,ResNet,0.9547415096168761
2023-07-10,ResNet,0.7611601407456157
2023-05-29,BERT,0.8987278656478598
2023-02-21,ResNet,0.8848782833920337
2023-07-02,ResNet,0.8330209074004066
2023-04-27,GPT-3,0.8256454850633661
2023-01-26,BERT,0.9352458542835891
2023-07-15,ResNet,0.7707419065830111
2023-02-03,VGG16,0.8068282342347325
2023-02-21,ResNet,0.9257876956411415
2023-04-22,GPT-3,0.8815969400943419
2023-03-23,VGG16,0.7807171700480607
2023-06-29,GPT-3,0.9617125474276944
2023-06-06,ResNet,0.844427483175262
2023-06-15,VGG16,0.9486884100773215
2023-02-11,BERT,0.9390511237266501
2023-01-21,BERT,0.8998621071532147
2023-02-11,VGG16,0.8686754715108224
2023-05-21,VGG16,0.9850922016916216
2023-04-23,GPT-3,0.7847916173711561
2023-04-15,VGG16,0.9240373746122675
2023-07-11,GPT-3,0.7958857683515493
2023-01-17,ResNet,0.8311831452797636
2023-04-30,GPT-3,0.8240876984095669
2023-05-17,VGG16,0.9772886370572935
2023-06-18,VGG16,0.982165482669186
2023-05-09,ResNet,0.7939237066163345
2023-05-10,VGG16,0.755288438471401
2023-03-01,VGG16,0.9228019295191472
2023-02-17,BERT,0.8503175841289162
2023-01-29,BERT,0.7713216588210154
2023-04-07,ResNet,0.9141009853384902
2023-01-10,GPT-3,0.880825326782568
2023-02-27,BERT,0.9853240372802654
2023-07-07,GPT-3,0.804578279006731
2023-01-21,VGG16,0.8469546903183716
2023-01-28,BERT,0.8802109928149014
2023-02-03,ResNet,0.9400079972288043
2023-01-08,ResNet,0.881721277612814
2023-07-06,ResNet,0.8970960386068678
2023-07-19,BERT,0.8042752923815858
2023-06-26,GPT-3,0.9532604947412544
2023-03-20,VGG16,0.8528713312729141
2023-05-25,GPT-3,0.7838303106052247
2023-07-07,GPT-3,0.9094050994813002
2023-03-28,VGG16,0.8018617087644738
2023-03-29,VGG16,0.7734150024574319
2023-06-22,BERT,0.9568768580170254
2023-03-10,BERT,0.8604389434772255
2023-06-09,BERT,0.9298280910469864
2023-06-21,BERT,0.8197410143535252
2023-07-12,BERT,0.9388728323802399
2023-03-28,VGG16,0.7768646224851673
2023-04-11,GPT-3,0.8354336097107646
2023-01-08,BERT,0.9847348363136469
2023-03-18,BERT,0.9405575319283215
2023-07-19,GPT-3,0.8693414232755251
2023-03-28,BERT,0.8315465931748525
2023-02-12,GPT-3,0.9593125680053943
2023-05-09,GPT-3,0.8807634621802838
2023-04-19,VGG16,0.9320220042885866
2023-06-28,ResNet,0.9309858432758794
2023-06-01,VGG16,0.7543069628564381
2023-06-01,ResNet,0.7803009078702272
2023-01-17,ResNet,0.9083110479347382
2023-05-13,ResNet,0.7887887547086091
2023-05-28,BERT,0.8113184027173451
2023-01-21,VGG16,0.9771931090079057
2023-02-27,ResNet,0.8844437420099789
2023-06-08,GPT-3,0.9301750816798433
2023-04-20,BERT,0.8839153773078335
2023-05-19,VGG16,0.882603267547854
2023-06-29,ResNet,0.7725964584301674
2023-05-23,GPT-3,0.8324791662261847
2023-05-15,VGG16,0.8177834156847628
2023-01-28,VGG16,0.8437748077472672
2023-02-20,BERT,0.9416026051738388
2023-07-05,VGG16,0.8392638403000475
2023-01-05,BERT,0.8584072366156038
2023-01-05,ResNet,0.845371533716476
2023-04-04,BERT,0.7724179132740709
2023-04-06,GPT-3,0.855857317980188
2023-01-08,BERT,0.7969462255306836
2023-03-05,GPT-3,0.79481359098553
2023-05-18,BERT,0.772568665064224
2023-02-07,VGG16,0.8356010337940235
2023-04-21,ResNet,0.9317956523494602
2023-04-22,GPT-3,0.816346005740015
2023-03-22,BERT,0.8249637844525233
2023-05-16,BERT,0.9042419178413816
2023-04-14,BERT,0.7970017950208605
2023-06-02,VGG16,0.9652699033016482
2023-03-14,VGG16,0.8748457255803731
2023-07-13,GPT-3,0.857424705676852
2023-06-27,GPT-3,0.8838768460630083
2023-07-14,VGG16,0.7898482352198869
2023-02-18,GPT-3,0.8972335532734023
2023-02-05,ResNet,0.8371441767921625
2023-05-06,ResNet,0.9653247218315085
2023-03-09,VGG16,0.7905250096026447
2023-03-19,GPT-3,0.8716922649277058
2023-04-15,BERT,0.8935470310485644
2023-06-18,ResNet,0.7580120644287315
2023-05-02,VGG16,0.8372863499414737
2023-04-29,GPT-3,0.9258324563281999
2023-07-09,VGG16,0.9468906017877536
2023-04-24,BERT,0.8251588787561478
2023-01-10,ResNet,0.9416623853718603
2023-05-29,VGG16,0.9822614105048133
2023-06-13,VGG16,0.9556497446580225
2023-05-20,VGG16,0.7782345571582381
2023-04-01,BERT,0.9275352797005297
2023-01-02,VGG16,0.8267200397857307
2023-04-28,BERT,0.9872198374588984
2023-01-13,BERT,0.8664861559583729
2023-06-30,BERT,0.7793841356061458
2023-06-09,ResNet,0.9240445315265737
2023-04-05,ResNet,0.8275226876126913
2023-05-24,VGG16,0.9892987576995989
2023-02-01,VGG16,0.9851477898850852
2023-02-01,ResNet,0.9074721643249394
2023-05-04,GPT-3,0.7811583477484122
2023-01-11,ResNet,0.914846639442007
2023-01-10,BERT,0.7723273167504066
2023-01-15,ResNet,0.7570473981845741
2023-01-17,BERT,0.9475100270931567
2023-06-17,VGG16,0.8003407074440835
2023-05-26,GPT-3,0.8409665102925834
2023-07-02,VGG16,0.9836297735942815
2023-06-02,BERT,0.8308417204466648
2023-02-28,BERT,0.8211575475079956
2023-03-19,BERT,0.9703699199094661
2023-05-04,GPT-3,0.7765796268765499
2023-04-24,ResNet,0.9322997784275117
2023-01-22,VGG16,0.9871357359966657
2023-06-07,VGG16,0.9663110425859157
